,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
103,Loa Janan,39,ID,1568652875,94,-0.58,117.09,73.03,2.71
104,Champerico,40,MX,1568652875,65,16.38,-93.6,82.4,5.82
105,Talnakh,0,RU,1568652875,69,69.49,88.39,35.6,20.13
106,Waddan,20,LY,1568652876,31,29.16,16.14,79.69,9.44
107,San Ramon,40,NI,1568652876,69,12.92,-85.84,75.2,13.87
108,Rize,75,TR,1568652876,73,41.02,40.52,70.0,5.82
109,Severo-Kurilsk,100,RU,1568652876,93,50.68,156.12,49.27,28.54
110,Petrokamenskoye,82,RU,1568652877,92,57.72,60.65,43.69,7.05
111,Inazawa,40,JP,1568652877,74,35.24,136.76,79.0,13.87
112,Verkhoyansk,19,RU,1568652877,95,67.55,133.39,28.03,2.17
113,Srednekolymsk,7,RU,1568652877,73,67.46,153.71,43.69,3.56
114,Ribeira Grande,75,PT,1568652878,83,38.52,-28.7,73.4,19.46
115,Namibe,82,AO,1568652878,83,-15.19,12.15,66.91,8.16
116,Kaitangata,75,NZ,1568652878,71,-46.28,169.85,39.99,21.0
117,Sawakin,16,SD,1568652878,36,19.1,37.33,86.71,2.73
118,Kidal,49,ML,1568652878,16,18.44,1.41,102.55,2.15
119,Matehuala,4,MX,1568652879,49,23.65,-100.64,71.59,1.74
120,Honiara,40,SB,1568652879,100,-9.43,159.96,73.4,3.36
121,Fairbanks,90,US,1568652632,81,64.84,-147.72,46.99,4.7
122,Tuktoyaktuk,75,CA,1568652879,75,69.44,-133.03,41.0,12.75
123,Les Cayes,83,HT,1568652880,76,18.19,-73.75,84.91,8.21
124,Palu,69,ID,1568652880,92,-0.9,119.87,72.85,2.66
125,Puerto Ayora,0,EC,1568652880,50,-0.74,-90.35,77.0,17.22
126,New Norfolk,14,AU,1568652880,69,-42.78,147.06,41.0,10.29
127,Bastia,0,IT,1568652881,69,44.6,8.98,75.99,3.36
128,Koshurnikovo,25,RU,1568652881,96,54.3,93.39,43.51,3.15
129,Charlestown,90,US,1568652693,72,41.38,-71.64,73.99,5.82
130,Ust-Omchug,50,RU,1568652881,87,61.13,149.63,33.61,2.91
131,Praia da Vitoria,40,PT,1568652882,78,38.73,-27.07,75.2,14.99
132,Maniitsoq,0,GL,1568652882,67,65.42,-52.9,39.73,10.22
133,Clyde River,20,CA,1568652882,51,70.47,-68.59,39.2,5.82
134,Lompoc,40,US,1568652883,93,34.64,-120.46,71.01,3.36
135,Swan River,6,CA,1568652883,45,52.11,-101.27,76.63,12.17
136,Copiapo,40,CL,1568652883,62,-27.37,-70.33,59.0,85.23
137,College,90,US,1568652883,81,64.86,-147.8,46.99,4.7
138,Yarmouth,75,CA,1568652839,77,43.84,-66.12,64.0,13.87
139,Muros,20,ES,1568652884,69,42.77,-9.06,75.2,6.93
140,Itarema,40,BR,1568652884,52,-2.92,-39.92,91.4,18.34
141,Georgetown,75,GY,1568652884,66,6.8,-58.16,93.2,13.87
142,Goundam,46,ML,1568652885,17,16.42,-3.66,102.55,6.62
143,Anqing,0,CN,1568652885,74,30.51,117.04,70.69,10.33
144,Grindavik,75,IS,1568652885,75,63.84,-22.43,48.2,17.22
145,Antalaha,59,MG,1568652885,96,-14.9,50.28,60.79,3.62
146,Grevesmuhlen,20,DE,1568652886,67,53.87,11.18,59.0,6.93
147,Abu Kamal,2,SY,1568652886,25,34.45,40.92,82.21,9.8
148,Andapa,79,MG,1568652886,92,-14.66,49.65,60.07,1.86
149,Kimberley,0,ZA,1568652886,8,-28.74,24.76,86.0,1.12
150,Carnarvon,0,ZA,1568652887,14,-30.97,22.13,63.49,3.65
151,Placido de Castro,42,BR,1568652887,26,-10.34,-67.19,101.65,2.98
152,Coxim,23,BR,1568652887,8,-18.5,-54.75,110.83,6.35
153,Cape Town,0,ZA,1568652887,68,-33.93,18.42,66.2,10.29
154,Atikokan,60,CA,1568652888,59,48.76,-91.62,77.71,10.02
155,Saint Anthony,1,US,1568652888,42,43.97,-111.68,71.6,5.82
156,Lebu,75,ET,1568652888,77,8.96,38.73,64.4,6.93
157,Upernavik,97,GL,1568652888,57,72.79,-56.15,30.73,10.22
158,Narsaq,75,GL,1568652889,26,60.91,-46.05,48.2,3.36
159,Geraldton,90,CA,1568652889,93,49.72,-86.95,60.8,3.36
160,Codrington,1,AU,1568652889,93,-28.95,153.24,62.6,9.17
161,Nishihara,90,JP,1568652889,88,35.74,139.53,75.99,4.72
162,Vila,0,IT,1568652890,54,45.18,8.4,84.99,6.93
163,Mancheral,30,IN,1568652890,93,18.87,79.43,75.55,5.75
164,Namangan,85,UZ,1568652890,49,41.0,71.67,68.0,2.24
165,Muroto,7,JP,1568652891,79,33.37,134.14,68.71,6.69
166,Esna,5,RO,1568652891,26,45.2,27.57,82.4,8.05
167,Ponta do Sol,20,BR,1568652891,24,-20.63,-46.0,87.61,8.34
168,Dingle,96,PH,1568652891,89,11.0,122.67,75.91,8.05
169,Tasiilaq,5,GL,1568652892,32,65.61,-37.64,41.0,1.12
170,Noyabrsk,99,RU,1568652892,92,63.2,75.45,49.09,16.35
171,The Valley,20,AI,1568652674,70,18.22,-63.06,89.01,14.99
172,Batagay-Alyta,9,RU,1568652892,80,67.8,130.41,24.43,2.1
173,North Battleford,1,CA,1568652893,68,52.78,-108.3,72.0,4.7
174,Usinsk,100,RU,1568652893,88,66.0,57.56,40.99,11.52
175,Iwaki,0,JP,1568652893,92,37.05,140.89,75.0,1.01
176,Butaritari,23,KI,1568652894,71,3.07,172.79,84.01,12.48
177,Cap Malheureux,40,MU,1568652894,83,-19.98,57.61,71.6,3.36
178,Bossier City,40,US,1568652848,46,32.52,-93.73,91.99,5.53
179,Bowen,75,AU,1568652894,93,-20.01,148.25,57.99,3.36
180,Yatou,75,CM,1568652894,79,3.63,9.81,84.2,6.93
181,Provideniya,98,RU,1568652895,86,64.42,-173.23,41.35,5.75
182,Erenhot,0,CN,1568652895,28,43.65,111.97,60.79,9.4
183,Mkuranga,20,TZ,1568652895,78,-7.12,39.21,77.0,8.05
184,Constitucion,5,MX,1568652895,52,23.99,-104.67,72.0,10.22
185,Papara,20,BR,1568652896,48,-3.98,-38.73,86.0,21.92
186,Todos Santos,5,MX,1568652896,58,23.45,-110.23,91.99,8.63
187,Nanortalik,100,GL,1568652896,64,60.14,-45.24,42.43,7.67
188,Kerrville,75,US,1568652896,38,30.05,-99.14,89.01,8.05
189,Fort-Shevchenko,0,KZ,1568652897,87,44.51,50.26,70.33,9.98
190,Skibbereen,75,IE,1568652897,77,51.55,-9.27,64.4,8.05
191,Verkhnevilyuysk,61,RU,1568652897,96,63.45,120.31,27.85,3.58
192,Normandin,75,CA,1568652898,71,48.84,-72.53,57.2,12.75
193,Mount Gambier,59,AU,1568652898,56,-37.83,140.78,33.8,6.46
194,Nikolskoye,90,RU,1568652898,81,59.7,30.79,50.0,13.42
195,Salalah,40,OM,1568652898,88,17.01,54.1,80.6,8.05
196,Thompson,40,CA,1568652899,68,55.74,-97.86,68.0,5.82
197,Shimoda,31,JP,1568652899,94,34.7,138.93,79.0,4.32
198,Rocha,67,UY,1568652686,47,-34.48,-54.34,58.27,11.43
199,Hami,0,CN,1568652899,14,42.84,93.51,68.17,8.9
200,Lavrentiya,77,RU,1568652900,80,65.58,-170.99,35.41,15.23
201,Port Blair,100,IN,1568652900,87,11.67,92.75,79.33,29.08
202,Arman,87,RU,1568652900,86,59.7,150.17,40.99,5.21
203,Thunder Bay,90,CA,1568652900,100,48.41,-89.26,62.01,6.93
204,Ambon,0,FR,1568652901,44,47.55,-2.56,80.01,8.05
205,Constantine,75,DZ,1568652901,47,36.36,6.61,77.0,27.51
206,Kruisfontein,56,ZA,1568652901,82,-34.0,24.73,60.61,2.53
207,Athabasca,92,CA,1568652901,77,54.72,-113.29,54.85,7.7
208,Fayaoue,66,NC,1568652902,68,-20.65,166.53,70.69,16.15
209,Truro,90,GB,1568652902,100,50.26,-5.05,62.6,10.29
210,Preobrazheniye,0,RU,1568652902,86,42.9,133.91,44.05,5.93
211,Gayny,100,RU,1568652902,92,60.3,54.33,45.31,8.46
212,Kahului,1,US,1568652903,69,20.89,-156.47,78.8,15.55
213,Nova Gradiska,0,HR,1568652903,47,45.26,17.38,80.6,2.24
214,Pacific Grove,90,US,1568652647,82,36.62,-121.92,64.99,5.82
215,Aljezur,85,PT,1568652904,72,37.31,-8.8,77.0,1.99
216,Rafai,84,CF,1568652904,96,4.95,23.92,71.95,2.01
217,Burnie,0,AU,1568652904,87,-41.05,145.91,32.71,3.0
218,Kirakira,25,SB,1568652905,85,-10.46,161.92,76.99,2.42
219,Hovd,90,NO,1568652905,87,63.83,10.7,52.0,13.87
220,Broome,40,GB,1568652905,77,52.47,1.45,61.0,3.36
221,Port Augusta,0,AU,1568652906,66,-32.49,137.76,50.0,14.99
222,Toba,40,JP,1568652906,74,34.47,136.83,78.8,13.87
223,Pevek,0,RU,1568652906,79,69.7,170.27,43.33,12.44
224,Nizhniy Kuranakh,100,RU,1568652906,92,58.84,125.49,29.83,4.97
225,Marsabit,44,KE,1568652906,32,2.34,37.99,84.91,14.83
226,Iquitos,40,PE,1568652907,59,-3.75,-73.25,91.4,4.7
227,Garowe,39,SO,1568652907,50,8.41,48.48,82.57,11.99
228,Charters Towers,16,AU,1568652907,94,-20.07,146.27,53.77,3.11
229,Vanimo,14,PG,1568652908,80,-2.67,141.3,81.49,10.04
230,Fort Nelson,90,CA,1568652908,93,58.81,-122.69,42.8,3.36
231,Rongcheng,100,CN,1568652908,80,37.16,122.42,62.01,4.0
232,Drayton Valley,100,CA,1568652908,79,53.22,-114.98,51.97,4.56
233,Evensk,21,RU,1568652909,94,61.92,159.24,35.95,4.21
234,Meulaboh,83,ID,1568652909,80,4.14,96.13,81.13,9.1
235,Port Elizabeth,90,US,1568652909,37,39.31,-74.98,84.99,4.7
236,Anshan,18,CN,1568652909,63,41.11,122.99,48.73,4.34
237,Tigil,0,RU,1568652910,85,57.8,158.67,37.57,4.36
238,Sioux Lookout,40,CA,1568652910,77,50.1,-91.92,69.8,8.05
239,Naze,100,NG,1568652910,92,5.43,7.07,76.63,5.21
240,Norman Wells,75,CA,1568652910,70,65.28,-126.83,44.6,20.8
241,Tiznit,83,MA,1568652910,79,29.7,-9.73,71.95,7.96
242,Impfondo,94,CD,1568652911,95,1.62,18.06,73.75,1.97
243,Laguna,75,BZ,1568652911,83,16.17,-88.94,84.2,4.83
244,Arica,90,CL,1568652911,63,-18.48,-70.32,64.4,10.29
245,Smolenka,92,PL,1568652911,85,54.15,22.76,51.07,15.86
246,Phonhong,40,LA,1568652912,100,18.5,102.42,77.0,1.03
247,Concepcion,68,CO,1568652912,70,9.56,-73.66,87.79,5.39
248,Annau,0,TM,1568652913,27,37.89,58.52,77.0,9.17
249,Portland,75,US,1568652869,48,43.66,-70.25,69.01,12.75
250,Karachi,75,PK,1568652913,79,24.87,67.03,84.2,9.17
251,Hit,0,IQ,1568652914,23,33.64,42.83,87.97,8.25
252,Tura,73,RU,1568652914,77,64.27,100.22,28.57,3.67
253,Omboue,46,GA,1568652914,86,-1.57,9.26,75.55,14.03
254,Pyaozerskiy,96,RU,1568652914,84,65.83,31.17,46.57,15.88
255,Hobyo,5,SO,1568652915,83,5.35,48.53,76.63,23.76
256,Sao Filipe,29,CV,1568652915,85,14.9,-24.5,81.85,10.36
257,Ikom,93,NG,1568652915,93,5.96,8.72,76.99,4.25
258,Ust-Tsilma,100,RU,1568652915,93,65.44,52.15,40.63,5.64
259,Zhuhai,0,CN,1568652916,66,40.71,112.04,50.0,6.71
260,Mitsamiouli,20,KM,1568652916,74,-11.38,43.28,78.8,12.75
261,Northam,36,AU,1568652916,87,-31.65,116.67,59.0,3.36
262,Bandarbeyla,19,SO,1568652917,79,9.49,50.81,76.99,22.59
263,Sabang,93,PH,1568652917,95,13.8,121.11,77.0,1.01
264,Broken Hill,0,AU,1568652917,87,-31.97,141.45,44.6,17.22
265,Fairview,90,CA,1568652917,93,56.07,-118.38,46.0,12.75
266,Port Lincoln,0,AU,1568652918,61,-34.72,135.86,52.51,15.46
267,Badin,100,PK,1568652918,78,24.66,68.84,81.49,15.14
268,Nazca,79,PE,1568652918,35,-14.83,-74.94,76.27,10.96
269,Pisco,20,PE,1568652918,30,-13.71,-76.2,71.6,9.17
270,Novyy Buyan,40,RU,1568652918,71,53.69,50.04,55.4,15.66
271,Redmond,75,US,1568652652,87,47.67,-122.12,59.0,4.7
272,Sharjah,0,AE,1568652919,63,25.36,55.39,93.2,5.82
273,Rio Grande,90,BR,1568652919,100,-32.03,-52.1,60.8,12.75
274,Komsomolskiy,100,RU,1568652919,94,67.55,63.78,39.73,7.87
275,Roebourne,0,AU,1568652920,56,-20.77,117.15,67.63,11.21
276,Hailar,91,CN,1568652920,77,49.2,119.7,45.67,12.97
277,Galle,100,GN,1568652920,92,10.08,-12.83,78.61,0.72
278,Isangel,100,VU,1568652920,66,-19.55,169.27,71.59,12.77
279,Buin,20,CL,1568652920,58,-33.73,-70.74,68.0,3.36
280,Lagoa,20,PT,1568652921,83,37.14,-8.45,77.0,9.17
281,Manokwari,15,ID,1568652921,82,-0.87,134.08,71.41,4.16
282,Beringovskiy,99,RU,1568652921,83,63.05,179.32,41.71,2.13
283,Iranshahr,69,IR,1568652922,8,27.21,60.69,96.8,16.11
284,Kavaratti,89,IN,1568652922,79,10.57,72.64,81.85,14.0
285,Linxi,40,CN,1568652922,70,23.65,116.7,84.2,6.71
286,Grand-Santi,34,GF,1568652922,37,4.27,-54.38,96.43,3.44
287,Tambacounda,75,SN,1568652923,88,13.77,-13.67,73.4,4.7
288,Barranco,48,BR,1568652923,47,-20.59,-41.2,79.51,5.79
289,Atasu,80,KZ,1568652923,49,48.68,71.64,61.15,5.12
290,Longyearbyen,20,NO,1568652923,72,78.22,15.63,32.0,17.22
291,Xining,100,CN,1568652923,96,36.62,101.77,42.07,2.77
292,Pochutla,75,MX,1568652924,62,15.74,-96.47,90.0,3.91
293,Jiangyou,100,CN,1568652924,97,31.78,104.73,55.75,0.25
294,Nova Odesa,0,UA,1568652924,42,47.3,31.79,67.27,5.35
295,Dzhebariki-Khaya,94,RU,1568652924,79,62.22,135.8,41.89,3.13
296,Plettenberg Bay,14,ZA,1568652925,94,-34.05,23.37,56.65,3.2
297,Kerema,100,PG,1568652925,87,-7.96,145.78,76.45,15.64
298,Cabo San Lucas,5,MX,1568652742,52,22.89,-109.91,91.99,3.36
299,Zomin,17,UZ,1568652925,28,39.96,68.4,64.57,2.64
300,Atambua,83,ID,1568652926,79,-9.11,124.89,75.55,5.93
301,Tuatapere,100,NZ,1568652926,88,-46.13,167.69,39.99,7.0
302,Uvira,8,CD,1568652926,73,-3.41,29.14,57.01,1.61
303,Faya,0,SA,1568652926,56,18.39,42.45,82.4,8.05
304,Kangaatsiaq,100,GL,1568652927,76,68.31,-53.46,40.09,7.92
305,Mogadishu,6,SO,1568652927,76,2.04,45.34,76.09,14.18
306,Juba,61,EE,1568652927,81,57.82,26.93,51.8,18.34
307,Vyartsilya,100,RU,1568652927,93,62.18,30.69,43.33,7.09
308,Waipawa,66,NZ,1568652928,72,-39.94,176.59,55.0,13.0
309,Nalut,0,LY,1568652928,23,31.86,10.98,82.75,8.23
310,Nouadhibou,0,MR,1568652727,57,20.93,-17.03,80.6,19.46
311,Atar,40,MR,1568652928,10,20.52,-13.05,110.83,11.92
312,Khasan,0,RU,1568652929,71,42.43,130.64,46.75,4.23
313,Port Hardy,90,CA,1568652929,100,50.7,-127.42,50.0,3.36
314,Mathathane,0,BW,1568652929,30,-22.27,28.75,76.63,10.78
315,North Myrtle Beach,40,US,1568652930,66,33.83,-78.68,88.0,14.99
316,Luziania,0,BR,1568652666,22,-16.25,-47.95,89.6,11.41
317,Fort Frances,1,CA,1568652930,73,48.61,-93.4,77.0,8.05
318,Wuzhou,1,CN,1568652930,95,23.48,111.3,74.65,2.44
319,Areni,0,AM,1568652930,41,39.72,45.19,78.8,9.17
320,Lorengau,17,PG,1568652931,85,-2.02,147.27,78.25,5.95
321,Vila Velha,20,BR,1568652931,48,-3.71,-38.6,86.0,21.92
322,Osijek,0,HR,1568652686,36,45.55,18.69,80.6,4.7
323,Raudeberg,40,NO,1568652931,66,61.99,5.14,50.0,12.75
324,Saint Simons,1,US,1568652932,52,31.14,-81.39,91.4,10.29
325,Bristol,90,GB,1568652709,93,51.45,-2.6,68.0,9.17
326,Bognor Regis,40,GB,1568652932,88,50.78,-0.67,69.01,6.06
327,Sangar,100,RU,1568652932,85,63.92,127.47,36.67,8.05
328,Dickinson,1,US,1568652933,53,46.88,-102.79,82.0,4.7
329,Camacha,20,PT,1568652933,64,33.08,-16.33,77.0,11.41
330,Tamworth,40,AU,1568652933,26,-31.09,150.93,57.2,8.05
331,Contai,100,IN,1568652760,89,21.78,87.75,80.41,6.13
332,Alofi,75,NU,1568652934,83,-19.06,-169.92,77.0,4.7
333,Abu Dhabi,0,AE,1568652750,63,24.47,54.37,95.0,5.82
334,Santa Barbara,90,US,1568652934,77,34.42,-119.7,73.99,4.7
335,Westport,75,US,1568652934,72,41.14,-73.36,75.0,3.36
336,Tekit,75,MX,1568652934,70,20.53,-89.33,87.8,8.05
337,Palmerston,2,AU,1568652935,78,-12.49,130.99,71.6,9.19
338,Petropavlovsk-Kamchatskiy,75,RU,1568652935,100,53.05,158.65,39.2,4.47
339,Basoko,100,CD,1568652935,98,1.23,23.61,71.95,1.41
340,Dudinka,0,RU,1568652904,69,69.41,86.18,35.6,20.13
341,Dabwali,0,IN,1568652936,49,29.95,74.74,86.17,11.43
342,Tarko-Sale,98,RU,1568652936,93,64.92,77.78,46.99,13.15
343,Mae Hong Son,84,MM,1568652936,96,19.3,97.96,68.17,0.87
344,Vera Cruz,40,BR,1568652937,83,-12.96,-38.61,77.0,4.7
345,Zaria,86,NG,1568652937,85,11.11,7.72,73.21,5.3
346,Fairlie,1,US,1568652937,44,33.31,-95.96,95.0,4.7
347,Lumut,75,BN,1568652937,78,4.66,114.45,80.6,1.12
348,Hamilton,90,CA,1568652900,88,43.26,-79.87,70.0,9.17
349,Klaksvik,75,FO,1568652938,61,62.23,-6.59,46.4,23.04
350,Novochernorechenskiy,11,RU,1568652938,95,56.27,91.08,44.77,5.57
351,Naron,20,ES,1568652938,69,43.52,-8.15,75.2,9.17
352,Hasaki,40,JP,1568652938,100,35.73,140.83,72.0,4.7
353,Pucallpa,58,PE,1568652939,28,-8.38,-74.54,105.07,0.18
354,Ullapool,61,GB,1568652939,68,57.9,-5.16,51.61,22.55
355,Sao Jose da Coroa Grande,2,BR,1568652939,59,-8.9,-35.15,79.87,9.28
356,Adamas,0,GR,1568652939,60,36.73,24.43,71.6,11.41
357,Edd,46,ER,1568652940,65,13.93,41.69,86.89,7.36
358,Dong Hoi,51,VN,1568652940,88,17.48,106.6,75.73,2.68
359,Margate,14,AU,1568652940,69,-43.03,147.26,41.0,10.29
360,Monrovia,75,LR,1568652940,94,6.33,-10.8,78.8,11.41
361,Cayenne,75,GF,1568652941,59,4.94,-52.33,91.4,8.05
362,Pandamatenga,0,BW,1568652941,11,-18.54,25.64,72.13,4.99
363,Paranavai,98,BR,1568652941,15,-23.07,-52.47,100.99,4.0
364,Yulara,0,AU,1568652942,37,-25.24,130.99,68.0,9.17
365,Nova Mayachka,0,UA,1568652942,64,46.6,33.23,69.8,13.42
366,Nhulunbuy,32,AU,1568652942,93,-12.18,136.78,66.2,4.7
367,Chuy,100,UY,1568652942,91,-33.69,-53.46,53.05,9.28
368,Te Anau,27,NZ,1568652943,77,-45.41,167.72,36.49,17.43
369,Kharan,7,PK,1568652943,9,28.58,65.42,78.25,2.26
370,Port Hawkesbury,90,CA,1568652943,67,45.62,-61.36,62.6,12.75
371,Rio Gallegos,75,AR,1568652943,75,-51.62,-69.22,46.4,19.46
372,Lisakovsk,74,KZ,1568652944,55,52.55,62.49,55.93,11.12
373,Tikhvin,99,RU,1568652944,91,59.64,33.53,46.99,1.99
